id,name,jl_number,longitude,latitude,ac_id
24593,Pechamura,206,87.16348070000002,22.9655287,927
24631,Alui,244,87.72957459999998,23.1011102,933
24632,Balguma,245,86.9436321,22.9019491,927
24641,Namoshol,254,86.8609285,22.7009533,926
24642,Siromanipur,256,87.34880860000001,23.0475895,931
24645,Kesia,259,87.0286936,22.757719100000006,926
24673,Rangametia,287,86.85716590000001,23.3093201,924
24679,Metala(294),294,87.07874179999997,23.3882015,929
24690,Barasalbani,307,86.9993144,22.7534519,926
24692,Pathardoba  (317),317,87.09751120000001,22.967357,927
24693,Tentulmuri  (331),331,87.5739959,23.0442721,932
24758,CHORKUL,330,86.92484830000002,22.6530766,926
24777,Bagakhulia,354,86.95615059999999,22.964679,925
24792,Barapara,447,86.9649116,22.7728952,926
24828,Chota Sarenga,663,87.02119420000002,22.7665094,926
24839,Barakura,674,87.4690648,22.9557921,932
24918,Balibil,753,87.4727791,22.9662692,932
24970,Kurajuri,9,87.016819,23.4142893,923
24987,Birbhanpur               (026),26,87.3022345,23.4848873,929
25007,Jaypur,46,87.44801149999998,23.0551658,932
25025,Bhangadali,64,86.9886834,22.8016181,926
25027,Laxmanpur,66,87.00931779999998,23.440911,923
25055,Dharmapur,94,87.45172749999998,23.1430189,933
25068,Buripara,107,86.87597609999997,23.2397992,924
25087,Marlu,126,86.9511436,23.1133514,924
25092,Bankishol,131,87.4678266,23.1685717,933
25111,Rautara,150,86.66362690000003,22.8264226,925
25178,Mirga,217,86.9811778,23.3310785,924
25209,Jalhari,248,86.9886834,23.250913,928
25212,Murakata,251,87.16348070000002,23.1678738,930
25235,Benageria,274,86.9936865,23.1409397,930
25243,Brindabanpur  (282),282,87.33513690000002,23.259208,934
25277,Natundihi,316,86.84477270000002,22.9023073,925
25301,Mirga,340,86.9811778,23.3310785,924
25318,Bishnupur,357,87.31652220000002,23.0678795,931
25330,Palashboni,369,87.10674190000002,23.0932077,930
25335,Komrabandh,374,87.0163345,23.5240831,923
25406,Jambedia,445,87.0593037,23.3734537,929
25465,Jamda,504,86.88099090000001,22.9007378,926
25502,Kenjapara,9,86.92171689999998,23.2696984,928
25559,Dharashol,38,87.3847941,23.0109832,931
25577,Sahaspur,48,87.67044200000002,23.1121585,933
25607,Gararra,063,87.0204541,22.943569,927
25689,Mangalpur,109,87.68030279999998,23.0706329,933
25695,Rajagram,112,87.03869089999998,23.2161622,928
25811,Benabandi,180,87.26058909999998,23.0297257,930
25835,Damodarbati,195,87.22824179999998,23.1184379,930
